sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Pseudochirulus_caroli|Pseudochirulus|NA|caroli|_P. c. caroli_ (Thomas, 1921); _P. c. versteegi_ (Thomas, 1922)|Pseudochirus caroli
Pseudochirops_albertisii|Pseudochirops|NA|albertisii|_P. a. albertisii_ (Peters, 1874); _P. a. insularis_ Stein, 1933; _P. a. schultzei_ Matschie, 1915|Phalangista (Pseudochirus) Albertisii
Pseudochirops_corinnae|Pseudochirops|NA|corinnae|_P. c. argenteus_ (Förster, 1913); _P. c. corinnae_ (Thomas, 1897) (synonyms: _buergersi_ Matschie, 1915, _caecias_ (Thomas, 1922)); _P. c. fuscus_ (Laurie, 1952)|Pseudochirus corinnae
Ailurops_ursinus|Ailurops|NA|ursinus|_A. u. flavissimus_ (Feiler, 1977); _A. u. togianus_ (Tate, 1945); _A. u. ursinus_ (Temminck, 1824)|Phalangista ursina
Strigocuscus_celebensis|Strigocuscus|NA|celebensis|_S. c. callenfelsi_ (Hooijer, 1950) (holocene); _S. c. celebensis_ (Gray, 1858); _S. c. feileri_ (Groves, 1987)|Cuscus celebensis
Phalanger_carmelitae|Phalanger|NA|carmelitae|_P. c. carmelitae_ Thomas, 1898; _P. c. coccygis_ Thomas, 1922|Phalanger carmelitae
Phalanger_gymnotis|Phalanger|NA|gymnotis|_P. g. gymnotis_ (Peters & Doria, 1875); _P. g. leucippus_ Thomas, 1898|Phalangista (Cuscus) gymnotis
Phalanger_mimicus|Phalanger|NA|mimicus|_P. m. mimicus_ Thomas, 1922; _P. m. peninsulae_ Tate, 1945|Phalanger orientalis mimicus
Phalanger_pelengensis|Phalanger|NA|pelengensis|_P. p. mendeni_ Feiler, 1978; _P. p. pelengensis_ Tate, 1945|Phalanger celebensis pelengensis
Phalanger_sericeus|Phalanger|NA|sericeus|_P. s. occidentalis_ Menzies & Pernetta, 1986; _P. s. sericeus_ Thomas, 1907|Phalanger sericeus
Spilocuscus_maculatus|Spilocuscus|NA|maculatus|_S. m. chrysorrhos_ (Temminck, 1824); _S. m. goldiei_ (Ramsay, 1877); _S. m. maculatus_ (Geoffroy Saint-Hilaire, 1803) (synonyms: _typicus_ (Cohn, 1914))|Phalangista maculata
Trichosurus_vulpecula|Trichosurus|NA|vulpecula|_T. v. arnhemensis_ Collett, 1897; _T. v. eburacensis_ Lönnberg, 1916; _T. v. fuliginosus_ (Ogilby, 1831) (synonyms: _cuvieri_ (Waterhouse, 1841), _ruficollis_ Schwarz, 1909); _T. v. hypoleucus_ (Wagner, 1853); _T. v. vulpecula_ (Kerr, 1792) (synonyms: _cinereus_ (Goldfuss, 1809), _lemurinus_ (Shaw, 1800), _mesurus_ Thomas, 1926, _novaehollandiae_ (Bechstein, 1799), _raui_ Finlayson, 1963, _tapouaru_ (Meyer, 1793), _typicus_ Thomas, 1888, _vulpinus_ (Meyer, 1793), _xanthopus_ (Ogilby, 1831))|Didelphis vulpecula
Phascolarctos_cinereus|Phascolarctos|NA|cinereus|_P. c. adustus_ Thomas, 1923; _P. c. cinereus_ (Goldfuss, 1817) (synonyms: _flindersii_ Lesson, 1827, _koala_ Gray, 1827, _koala_ Ranzani, 1820); _P. c. victor_ Troughton, 1935|Lipurus cinereus
Lasiorhinus_krefftii|Lasiorhinus|NA|krefftii|_L. k. barnardi_ Longman, 1939; _L. k. gillespiei_ (De Vis, 1900); _L. k. krefftii_ (Owen, 1872)|Phascolomys Krefftii
Vombatus_ursinus|Vombatus|NA|ursinus|_V. u. hirsutus_ (Perry, 1810) (synonyms: _angasii_ (Gray, 1863), _assimilis_ (Krefft, 1872), _niger_ (Gould, 1863), _platyrhinus_ (Owen, 1853), _setosus_ (Gray, 1863), _wombat_ (Voigt, 1802)); _V. u. mitchellii_ (Owen, 1838) (fossil); _V. u. tasmaniensis_ (Spencer & Kershaw, 1910); _V. u. ursinus_ (Shaw, 1800) (synonyms: _australasiensis_ (Muirhead, 1819), _bassii_ (Lesson, 1827), _fossor_ Desmarest, 1804, _fuscus_ (Tiedemann, 1808), _vombatus_ (Leach, 1815), _wombat_ (Lesueur & Petit, 1807))|Didelphis Ursina
Chaetophractus_vellerosus|Chaetophractus|NA|vellerosus|_C. v. nationi_ (Thomas, 1894); _C. v. pannosus_ (Thomas, 1902) (synonyms: _desertorum_ (Krumbiegel, 1940)); _C. v. vellerosus_ (Gray, 1865) (synonyms: _boliviensis_ (Grandidier & Neveu-Lemaire, 1908), _brevirostris_ (Fitzinger, 1861), _brevirostris_ (Fitzinger, 1871))|Dasypus vellerosus
Euphractus_sexcinctus|Euphractus|NA|sexcinctus|_E. s. boliviae_ (Thomas, 1907); _E. s. flavimanus_ (Desmarest, 1804) (synonyms: _encoubert_ (Desmarest, 1822), _flavipes_ (Fischer, 1814), _gilvipes_ (Lichtenstein, 1818), _gilvipes_ (Olfers, 1818), _pilosus_ (Olfers, 1818), _poyu_ (Larrañaga, 1923)); _E. s. setosus_ (Wied-Neuwied, 1826) (synonyms: _bruneti_ (Milne-Edwards, 1871)); _E. s. sexcinctus_ (Linnaeus, 1758) (synonyms: _mustelinus_ Fitzinger, 1871); _E. s. tucumanus_ (Thomas, 1907)|Dasypus sexcinctus
Zaedyus_pichiy|Zaedyus|NA|pichiy|_Z. p. caurinus_ Thomas, 1928; _Z. p. pichiy_ (Desmarest, 1804) (synonyms: _australis_ (Larrañaga, 1923), _ciliatus_ (Fischer, 1814), _fimbriatus_ (Illiger, 1815), _fimbriatus_ (Olfers, 1818), _marginatus_ (Wagler, 1830), _minutus_ (Desmarest, 1822), _patagonicus_ (Desmarest, 1819), _quadricinctus_ (Molina, 1782))|loricatus pichiy
Dasypus_septemcinctus|Dasypus|Muletia|septemcinctus|_D. s. cordobensis_ Feijó, Patterson & Cordeiro-Estrela, 2018; _D. s. hybridus_ (Desmarest, 1804) (synonyms: _auritus_ (Olfers, 1818), _auritus_ Illiger, 1815, _brevicauda_ Larrañaga, 1923); _D. s. septemcinctus_ Linnaeus, 1758 (synonyms: _megalolepis_ (Cope, 1889), _propalatus_ (Rhoads, 1894))|Dasypus septemcinctus
Choloepus_hoffmanni|Choloepus|NA|hoffmanni|_C. h. agustinus_ Allen, 1913 (synonyms: _andinus_ Allen, 1913); _C. h. capitalis_ Allen, 1913; _C. h. hoffmanni_ Peters, 1858; _C. h. juruanus_ Lönnberg, 1942; _C. h. pallescens_ Lönnberg, 1928 (synonyms: _peruvianus_ Menegaux, 1906)|Choloepus Hoffmanni
Myrmecophaga_tridactyla|Myrmecophaga|NA|tridactyla|_M. t. artata_ Osgood, 1912; _M. t. centralis_ Lyon, 1906; _M. t. tridactyla_ Linnaeus, 1758 (synonyms: _jubata_ Linnaeus, 1766)|Myrmecophaga tridactyla
